"HolderAddress","Balance","PendingBalanceUpdate"
"0x74716187c587866ec151990e2f22806a160493f4","484,491.671449697055944628","No"
"0x00a70879a7878b96d65a893cbfe9e9e174d318ce","464,000","No"
"0x3e7da6834bda317eb9dbe64f4f14aad6a81a1708","335,827.114037943814681193","No"
"0x2e3c3e0f8fb74df507c809080b7e72aecca232fc","249,715.882157423066716333","No"
"0x7509141484b62b2c29a7dbe29b94479ecb3704cf","206,787.96259321079021862","No"
"0xac0589a2a2015b862b33ae61fa8bbebd94d33d30","205,724.944277717888512019","No"
"0x0148ed0b2cf7ea99164e3c44e77ac56e33f36746","205,446.381450693400810587","No"
"0xa34908e3f068d0117d11055182a1851dd299172c","203,123","No"
"0xdfbb5580a206d6d5f7bdc41191bcea7c7a39f9bd","201,109","No"
"0xfa66720cb22e2e462f8fbaacbaaff51222d468e8","200,000","No"
"0x4a38e9f98ac292ddbfd4253598ad203b4e2fdc52","200,000","No"
"0x0b85e7fa2dc09acc72635f1c948b293a39c7f6dd","200,000","No"
"0xd271e538baeb1332a78b11dd790f53652a1a725b","200,000","No"
"0xc1c93d2912a0598c9b05a03d9ffd03dc48c3cd6c","200,000","No"
"0xa577718d3a8af3c2f3d7df48e640d87c718bc1e7","199,000","No"
"0xb912729f57e7c52adf39b576dbd2227d2a0a5b7c","196,806.54897119336710955","No"
"0x7571ef955f9a97c4a014d5a4c9663645875f05a5","163,595.684677427253569407","No"
"0x1d992962c17010c2b4000088fe9a8014127f1981","160,031","No"
"0x0877d8d30f5dbdaffe348c6f680f4f04b81660ed","153,000","No"
"0xe664aba1222ef64aef0dbd946cdf9e18ff0fe7f8","152,000","No"
"0x3fca33e7271331375c58acbdaaf8a8351233d434","151,000","No"
"0x39d7be2820d599d916b719d2a8fba373de0cc690","145,500","No"
"0x84edab5ff9cc1864dfb41df4272216c549f368a3","141,868","No"
"0xe5c9f61b744c92413716134c66f115180dc8d232","138,000","No"
"0xddf9092ddef4eb5b6804dc54324dd98ebce3eb76","132,516","No"
"0x435efe29551e3e3113e53f8e9a4b8fb0bd5cdcb4","132,462","No"
"0x4c8cefe8e77fbddf14a25d9f78560e1ec7d1e8c8","130,000","No"
"0xdb466faa044d9415718b38cb7d1ad9f1a084c6d2","127,000","No"
"0xf498dba6ba20cd2beb4e8c23789a622a7bdc4fbc","126,847.823163384475989294","No"
"0xac4511946be684174881cb6e401b70a8827971c1","126,377.137022709202881976","No"
"0xcb27ac98b06a30c28ed757192a4894929b69e78d","126,000","No"
"0xf993445f04be69c18602b0593a837d02b385fe73","124,500","No"
"0x615c7bbaa18c019f73489e4a7923c509613ed40e","123,030.004732296602490723","No"
"0x116c2e09ebd20a54c03a4dae6d24f6237df026c5","122,000","No"
"0xda7499905ee51d3b98af637b6215f60ffaff4f7a","120,182.288634554712765495","No"
"0x933d70474c71ffda868e0d13b8e93c8fc8ba6bc8","120,000","No"
"0xc58efb83acd43d9ac899ce68d3f1e6a123487f01","119,808","No"
"0xc9eaa7ee1330de4c2f6e83beeeb65a1952bd8efc","117,000","No"
"0x6f8541d31e5480f73b16c09464809b46d5cca6b1","114,706","No"
"0x5b689e16468b092118aa2e1c2093221a68d50268","111,131.019698896996231181","No"
"0x2faec86bb0e782da8b0a2244d7909fe7ae28aac4","108,000","No"
"0x3654d399ecd217c7f4329ede78e459c0d37e29e9","106,000","No"
"0x6c875d26c3e6f9fb3c5da9b4ac90f9579d3b77d8","104,030","No"
"0x43bde2d19c2b139b1708d4ca0afe74b179705a43","101,000","No"
"0xbc194ce71ce06ee373bbbcc33ff44ab0ed2ab4dd","101,000","No"
"0x106d009a20d48b0494083bc81decb43cc32e62e9","100,000","No"
"0x2d276adc63f0d035b5df0bbe4dc16f8c82c46be3","100,000","No"
"0x85d8ea0e9f3e6722aae89bf7c3a8622cdc48a303","99,000","No"
"0xb90d5a8233af6c0075f3adf3096eab7d88d39bc1","97,000","No"
"0xe38101cb39a288cd857c75553023500e42ab078b","86,000","No"
"0x998769768bb204525735171c2e1cedd10229f047","82,199","No"
"0xd3833f05b47e910ef0d3d8eb8077cc8bed833e27","82,000","No"
